gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,cik,costat,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,Mkt cap 31 Dec 2024
110566,12/31/24,2024,INDL,C,D,STD,IOSP,INNOSPEC INC,USD,1054905,A,151010,15,15101050,325180,2810,167,970,2.74511652
155738,12/31/24,2024,INDL,C,D,STD,NNI,NELNET INC,USD,1258602,A,402020,40,40202010,522291,6141,,,2.73700625
34241,9/30/24,2024,INDL,C,D,STD,TWST,TWIST BIOSCIENCE CORP,USD,1581280,A,352010,35,35201010,325414,2836,,,2.73601419
317427,12/31/24,2024,INDL,C,D,STD,NOMD,NOMAD FOODS LTD,USD,1651717,A,302020,30,30202030,311411,2030,,,2.73477084
40383,12/31/24,2024,INDL,C,D,STD,CRGY,CRESCENT ENERGY CO,USD,1866175,A,101020,10,10102020,2111,1311,,,2.73376476
16889,12/31/24,2024,INDL,C,D,STD,INDB,INDEPENDENT BANK CORP/MA,USD,776901,A,401010,40,40101015,522110,6020,817,800,2.72762567
147305,12/31/24,2024,INDL,C,D,STD,JBLU,JETBLUE AIRWAYS CORP,USD,1158463,A,203020,20,20302010,481111,4512,605,600,2.72645322
39048,12/31/24,2024,INDL,C,D,STD,FA,FIRST ADVANTAGE CORP,USD,1210677,A,202020,20,20202010,561499,7389,,,2.72632007
184352,12/31/24,2024,INDL,C,D,STD,STNG,SCORPIO TANKERS INC,USD,1483934,A,101020,10,10102040,483111,4412,,,2.71188144
14370,12/31/24,2024,INDL,C,D,STD,MAN,MANPOWERGROUP,USD,871763,A,202020,20,20202010,561320,7363,457,978,2.70914592
62378,12/31/24,2024,INDL,C,D,STD,HUBG,HUB GROUP INC  -CL A,USD,940942,A,203010,20,20301010,488510,4731,620,600,2.70871328
64334,12/31/24,2024,INDL,C,D,STD,VCEL,VERICEL CORP,USD,887359,A,352010,35,35201010,325414,2836,292,905,2.70514115
264193,12/31/24,2024,INDL,C,D,STD,SNDR,SCHNEIDER NATIONAL INC,USD,1692063,A,203040,20,20304030,484,4210,,,2.69832768
2628,12/31/24,2024,INDL,C,D,STD,CWT,CALIFORNIA WATER SERVICE GP,USD,1035201,A,551040,55,55104010,221310,4941,725,700,2.69591109
186904,9/30/24,2024,INDL,C,D,STD,CLSK,CLEANSPARK INC,USD,827876,A,451030,45,45103010,518210,7370,,,2.69449602
165678,12/31/24,2024,INDL,C,D,STD,CPA,COPA HOLDINGS SA,USD,1345105,A,203020,20,20302010,481111,4512,,,2.6939614
25898,12/31/24,2024,INDL,C,D,STD,SGRY,SURGERY PARTNERS INC,USD,1638833,A,351020,35,35102020,621999,8090,,,2.69100338
35600,12/31/24,2024,INDL,C,D,STD,SWTX,SPRINGWORKS THERAPEUTICS INC,USD,1773427,A,352010,35,35201010,325414,2836,,,2.68572355
